YEAR,MO,DY,HR,T2M,T2MDEW,RH2M,PRECTOTCORR,PS,WS50M,WD50M
2016,12,30,19,-0.41,-2.5,85.75,0,100.2,7.43,275.67
2016,12,30,20,-0.67,-2.76,85.94,0,100.32,7.46,278.31
2016,12,30,21,-0.99,-3.05,86.31,0,100.41,7.2,279.18
2016,12,30,22,-1.27,-3.32,86.5,0,100.5,7.13,279.34
2016,12,30,23,-1.52,-3.66,86.06,0,100.57,7.03,279.86
2016,12,31,0,-1.96,-3.92,87.5,0,100.64,6.45,277.73
2016,12,31,1,-2.39,-4.16,88.94,0,100.75,6.05,273.04
2016,12,31,2,-2.59,-4.38,88.81,0,100.85,6.08,268.6
2016,12,31,3,-2.77,-4.52,89.25,0,100.91,5.97,264.21
2016,12,31,4,-3.06,-4.59,91,0,100.97,5.63,258.63
2016,12,31,5,-3.22,-4.61,92.06,0,101.06,5.47,252.37
2016,12,31,6,-3.24,-4.63,91.94,0,101.16,5.71,248.99
2016,12,31,7,-2.63,-4.49,88.38,0,101.22,5.34,244.26
2016,12,31,8,-1.16,-4.08,80.69,0,101.21,4.44,231.5
2016,12,31,9,0.16,-3.91,73.44,0,101.16,4.83,215.05
2016,12,31,10,1.09,-3.64,70.12,0,101.09,5.78,201.82
2016,12,31,11,1.87,-3.42,67.5,0,100.99,7.04,196.5
2016,12,31,12,2.55,-3.27,65.06,0,100.88,8.26,193.79
2016,12,31,13,3.3,-2.83,63.88,0,100.77,9.33,192.57
2016,12,31,14,3.64,-2.27,65,0,100.68,9.95,193.95
2016,12,31,15,3.28,-1.72,69.56,0,100.61,10.08,197.23
2016,12,31,16,2.7,-1.24,75.12,0,100.57,10.1,202.26
2016,12,31,17,2.59,-0.93,77.5,0,100.54,10,206.14
2016,12,31,18,2.37,-0.92,78.88,0,100.5,9.79,208.41
2016,12,31,19,2.16,-0.85,80.31,0,100.45,9.34,209.52
2016,12,31,20,2.12,-0.52,82.5,0.01,100.39,8.88,211.58
2016,12,31,21,2.08,-0.11,85.25,0.05,100.36,8.62,215.63
2016,12,31,22,2.01,0.23,87.88,0.08,100.35,8.38,220.04
2016,12,31,23,2.04,0.4,88.88,0.06,100.32,8.11,224.3
2017,1,1,0,2.08,0.53,89.38,0.03,100.31,7.61,229.25
2017,1,1,1,2.03,0.62,90.25,0.03,100.32,6.99,233.04
2017,1,1,2,1.58,0.47,92.12,0.01,100.34,6.73,234.54
2017,1,1,3,1.18,0.29,93.69,0,100.37,6.68,239.12
2017,1,1,4,0.63,-0.05,95.06,0,100.46,7.16,247.01
2017,1,1,5,0.48,-0.13,95.5,0,100.58,7.27,253.2
2017,1,1,6,0.73,0.04,95,0,100.69,7.63,261.99
2017,1,1,7,0.99,0.25,94.62,0,100.82,7.76,273.46
2017,1,1,8,2.58,0.87,88.38,0,100.97,7.02,282.99
2017,1,1,9,4.26,0.79,78.5,0,101.13,6.72,292.33
2017,1,1,10,5.19,-1.31,63.06,0,101.25,7.18,299.33
2017,1,1,11,5.57,-2.41,56.31,0,101.28,6.4,301.11
2017,1,1,12,5.93,-2.75,53.44,0,101.31,5.71,300.43
2017,1,1,13,6.09,-2.72,52.94,0,101.37,5.14,300.93
2017,1,1,14,5.86,-2.12,56.31,0,101.46,4.49,304.44
2017,1,1,15,4.29,-0.11,73.06,0,101.56,3.94,314.44
2017,1,1,16,1.78,-2.48,73.25,0,101.67,3.67,326.11
2017,1,1,17,1.48,-3.56,68.69,0,101.8,3.26,334.78
2017,1,1,18,1.39,-3.95,67.06,0,101.9,2.96,355.01
2017,1,1,19,1.01,-4.1,68.06,0,101.95,3.01,21.44
2017,1,1,20,0.83,-3.99,69.62,0,102,2.95,45.64
2017,1,1,21,0.86,-3.66,71.38,0,102.08,2.83,66.55
2017,1,1,22,0.22,-3.13,77.94,0,102.13,3.31,78.69
2017,1,1,23,-0.69,-2.47,88.19,0,102.15,4.19,80.99
2017,1,2,0,-0.97,-1.82,94.75,0,102.1,5.33,83.6
2017,1,2,1,-0.65,-1.2,96.62,0,102.1,5.71,87.26
2017,1,2,2,-0.66,-0.77,99.81,0,102.15,5.35,91.51
2017,1,2,3,-0.61,-0.49,100,0,102.14,5.37,92.42
2017,1,2,4,-0.15,-0.25,99.44,0,102.13,5.35,90.17
2017,1,2,5,0.15,-0.2,97.38,0,102.16,4.77,88.97
2017,1,2,6,0.08,-0.28,97.38,0.01,102.24,4.28,88.32
2017,1,2,7,0.23,-0.39,95.56,0,102.29,4.07,84.27
2017,1,2,8,1.16,-0.06,91.62,0.01,102.31,4.11,81.7
2017,1,2,9,2,0.33,88.94,0.03,102.31,4.08,82.2
2017,1,2,10,2.71,0.7,86.81,0.08,102.3,4.26,83.15
2017,1,2,11,3.17,1.08,86.38,0.21,102.22,4.44,80.37
2017,1,2,12,3.26,1.44,88,0.33,102.14,4.39,74.85
2017,1,2,13,3.15,1.62,89.81,0.3,102.1,4.72,72.76
2017,1,2,14,2.88,1.69,91.88,0.3,102.05,5.03,71.73
2017,1,2,15,2.54,1.69,94.12,0.33,101.99,5.66,72.57
2017,1,2,16,2.14,1.58,96.06,0.31,101.96,5.83,69.6
2017,1,2,17,1.96,1.53,97.06,0.27,101.97,5.69,61.92
2017,1,2,18,1.89,1.53,97.56,0.25,101.96,5.75,57.65
2017,1,2,19,1.83,1.53,97.94,0.29,101.91,5.89,55.7
2017,1,2,20,1.79,1.53,98.19,0.29,101.82,6.05,53.19
2017,1,2,21,2.13,1.84,98,0.28,101.75,6.57,58.12
2017,1,2,22,2.23,2.02,98.56,0.33,101.65,6.33,56.78
2017,1,2,23,2.22,2.03,98.69,0.46,101.54,6.45,54.27
2017,1,3,0,2.44,2.22,98.44,0.27,101.43,6.58,57.22
2017,1,3,1,2.75,2.5,98.25,0.22,101.36,7.04,58.88
2017,1,3,2,2.97,2.7,98.12,0.19,101.29,7.09,59.57
2017,1,3,3,2.94,2.65,97.94,0.24,101.22,7.16,57.47
2017,1,3,4,2.94,2.62,97.69,0.24,101.09,7.72,58.74
2017,1,3,5,2.99,2.67,97.81,0.26,101.05,7.63,59.47
2017,1,3,6,3.12,2.81,97.88,0.26,100.99,7.76,61.63
2017,1,3,7,3.29,2.98,98,0.17,100.9,7.98,64.74
2017,1,3,8,3.58,3.25,97.88,0.24,100.8,8.23,67.74
2017,1,3,9,3.95,3.58,97.69,0.14,100.69,8.52,68.59
2017,1,3,10,4.27,3.88,97.56,0.15,100.54,8.57,68.39
2017,1,3,11,4.56,4.1,97.06,0.59,100.32,8.63,68.99
2017,1,3,12,4.83,4.24,96.12,1.45,100.07,8.4,66.96
2017,1,3,13,5.05,4.42,96,3.05,99.85,8.29,64.06
2017,1,3,14,5.05,4.51,96.62,5.38,99.65,7.96,60.21
2017,1,3,15,4.75,4.35,97.62,2.92,99.58,6.31,50.83
2017,1,3,16,4.55,4.12,97.5,0.62,99.42,7.52,52.43
2017,1,3,17,4.29,3.93,97.81,0.4,99.29,6.52,48.79
2017,1,3,18,3.93,3.62,98.06,0.14,99.17,5.66,40.3
2017,1,3,19,3.6,3.33,98.25,0.12,99.08,4.84,30.54
2017,1,3,20,3.22,3.01,98.69,0.11,99,3.78,14.98
2017,1,3,21,2.98,2.75,98.5,0.08,98.92,3.32,352.16
2017,1,3,22,2.77,2.47,97.94,0.05,98.87,3.25,311.88
2017,1,3,23,2.58,2.22,97.56,0.07,98.83,4.06,288.5
2017,1,4,0,2.32,2,97.75,0.03,98.8,4.45,280.72
2017,1,4,1,1.98,1.73,98.31,0,98.78,4.45,276.95
2017,1,4,2,1.3,1.3,100,0,98.76,4.38,273.48
2017,1,4,3,0.75,0.98,100,0,98.74,4.76,262.93
2017,1,4,4,0.78,1.01,100,0,98.74,5.48,253.17
2017,1,4,5,1.67,1.52,98.94,0,98.79,5.63,245.57
2017,1,4,6,2.42,2.09,97.75,0.01,98.87,5.72,242.66
2017,1,4,7,2.71,2.42,98.06,0.04,98.92,5.2,247.64
2017,1,4,8,3.37,2.84,96.44,0.01,98.9,4.34,253.06
2017,1,4,9,4.76,3.52,91.62,0,98.92,4.79,266.35
2017,1,4,10,6.11,4.15,87.19,0,98.96,4.95,264.57
2017,1,4,11,7.22,4.46,82.56,0,98.97,6.04,263.24
2017,1,4,12,7.98,4.21,76.94,0,98.97,7.27,268.52
2017,1,4,13,8.46,3.75,72.12,0,98.98,7.75,271.62
2017,1,4,14,8.21,3.28,71,0,99.02,8.15,272.86
2017,1,4,15,7.13,2.8,73.88,0,99.06,8.67,272.27
2017,1,4,16,5.45,1.67,76.69,0,99.13,9.55,272.34
2017,1,4,17,3.89,-0.12,75.31,0,99.25,10.09,275.29
2017,1,4,18,2.38,-1.8,73.88,0,99.37,9.82,278.97
2017,1,4,19,1.19,-3.06,73,0,99.46,9.62,280.3
2017,1,4,20,0.28,-4.32,70.62,0,99.53,9.58,278.39
2017,1,4,21,-0.53,-5.15,70.44,0,99.59,9.26,274.89
2017,1,4,22,-1.17,-5.56,71.94,0,99.68,9.05,271.53
2017,1,4,23,-1.87,-5.99,73.62,0,99.76,8.65,269.64
2017,1,5,0,-2.58,-6.43,75.38,0,99.84,8.32,269.19
2017,1,5,1,-3.02,-6.98,74.81,0,99.92,8.34,271.66
2017,1,5,2,-3.2,-7.48,72.94,0,100.03,8.17,275.11
2017,1,5,3,-3.34,-7.78,71.88,0,100.09,7.87,275.18
2017,1,5,4,-3.45,-8.01,71.25,0,100.19,7.84,272.91
2017,1,5,5,-3.57,-8.15,71.12,0,100.3,7.49,273.35
2017,1,5,6,-3.88,-8.24,72.44,0,100.4,6.95,272.77
2017,1,5,7,-4.27,-8.2,75.06,0,100.47,6.16,270.65
2017,1,5,8,-3.26,-8.73,65.69,0,100.52,6.44,275.92
2017,1,5,9,-2.31,-9.39,57.19,0,100.56,6.73,278.48
2017,1,5,10,-1.95,-9.36,55.69,0,100.57,6.25,274.51
2017,1,5,11,-1.89,-9.24,56,0,100.52,5.94,270.15
2017,1,5,12,-1.59,-9.11,55.19,0,100.44,5.65,266.75
2017,1,5,13,-1.19,-8.95,54.19,0,100.42,5.33,261.39
2017,1,5,14,-1.17,-8.71,55.19,0,100.43,4.94,256.27
