YEAR,MO,DY,HR,T2M,T2MDEW,RH2M,PRECTOTCORR,PS,WS50M,WD50M
2016,12,30,19,2.69,-0.85,77.44,0,101.11,10.95,276.02
2016,12,30,20,2.47,-0.96,78,0,101.22,10.84,278.5
2016,12,30,21,2.13,-1.13,78.94,0,101.32,10.61,280.78
2016,12,30,22,1.9,-1.45,78.38,0,101.4,10.69,282.45
2016,12,30,23,1.64,-1.79,77.88,0,101.47,10.61,284.28
2016,12,31,0,1.27,-2.1,78.06,0,101.56,10,284.24
2016,12,31,1,1.01,-2.31,78.38,0,101.66,9.33,281.2
2016,12,31,2,0.91,-2.43,78.19,0,101.77,9.11,277.34
2016,12,31,3,0.77,-2.5,78.56,0,101.82,8.69,273.35
2016,12,31,4,0.65,-2.61,78.69,0,101.88,8.34,270.81
2016,12,31,5,0.63,-2.75,77.88,0,101.97,8.02,267.27
2016,12,31,6,0.72,-2.86,76.75,0,102.07,8.11,264.09
2016,12,31,7,1.02,-2.83,75.25,0,102.14,8.02,258.94
2016,12,31,8,2.08,-2.57,71.06,0,102.12,7.13,247.31
2016,12,31,9,2.9,-2.44,67.69,0,102.07,6.91,228.39
2016,12,31,10,3.62,-2.11,65.94,0,102,7.79,211.35
2016,12,31,11,4.37,-1.8,64.12,0,101.88,9.2,202.99
2016,12,31,12,5.09,-1.4,62.81,0,101.77,10.8,199.97
2016,12,31,13,5.69,-1.01,62.06,0,101.67,12.32,199.22
2016,12,31,14,5.88,-0.59,63.12,0,101.57,13.3,199.88
2016,12,31,15,5.85,0.2,67.06,0,101.49,13.55,202.47
2016,12,31,16,5.76,0.8,70.56,0,101.45,13.92,207.4
2016,12,31,17,5.58,0.94,72.12,0,101.42,13.99,210.9
2016,12,31,18,5.33,0.88,73.12,0,101.39,13.9,213.28
2016,12,31,19,5.3,1.06,74.12,0,101.34,13.56,214.58
2016,12,31,20,5.37,1.28,74.94,0,101.29,13.42,216.93
2016,12,31,21,5.36,1.56,76.56,0.06,101.25,13.11,220.6
2016,12,31,22,5.44,1.81,77.44,0.12,101.23,12.56,224.22
2016,12,31,23,5.55,2.06,78.31,0.09,101.2,11.95,227.46
2017,1,1,0,5.66,2.26,78.81,0.05,101.19,11.41,232.57
2017,1,1,1,5.63,2.38,79.69,0.04,101.21,10.58,237.85
2017,1,1,2,5.32,2.26,80.75,0.01,101.24,9.88,240.43
2017,1,1,3,5.03,2.08,81.31,0,101.25,9.77,244.62
2017,1,1,4,4.71,1.84,81.88,0,101.35,9.95,249.16
2017,1,1,5,4.47,1.84,83.25,0,101.47,9.99,252.06
2017,1,1,6,4.33,1.91,84.56,0,101.59,9.89,257.82
2017,1,1,7,4.43,2.12,85.25,0.02,101.7,10.01,265.39
2017,1,1,8,5.29,2.75,83.75,0.01,101.84,9.04,272.72
2017,1,1,9,6.25,3.2,80.88,0,101.98,8,281.04
2017,1,1,10,7.18,2.05,70.06,0,102.09,8.57,292.4
2017,1,1,11,7.39,0.83,63.25,0,102.13,7.56,297.39
2017,1,1,12,7.54,0.11,59.44,0,102.15,6.54,299.01
2017,1,1,13,7.69,-0.35,56.81,0,102.2,5.74,299.95
2017,1,1,14,7.74,-0.55,55.69,0,102.29,5.03,303.99
2017,1,1,15,7.33,0.25,60.69,0,102.39,4.36,315.29
2017,1,1,16,6.32,-1.03,59.19,0,102.49,3.95,328.92
2017,1,1,17,6.08,-1.7,57.31,0,102.63,3.62,342.15
2017,1,1,18,5.83,-2.02,56.94,0,102.72,3.51,5.62
2017,1,1,19,5.5,-2.29,57.06,0,102.78,3.49,30.13
2017,1,1,20,5.28,-2.35,57.69,0,102.83,3.46,50.59
2017,1,1,21,5.22,-2.24,58.38,0,102.89,3.44,65.88
2017,1,1,22,4.94,-1.73,61.94,0,102.93,4.07,73.83
2017,1,1,23,4.65,-1.03,66.5,0,102.93,5.01,75.83
2017,1,2,0,4.67,-0.29,70.19,0,102.89,6.16,79.26
2017,1,2,1,4.77,0.19,72.12,0,102.89,6.42,86.02
2017,1,2,2,4.83,0.58,73.81,0,102.93,6.19,91.45
2017,1,2,3,4.94,0.96,75.38,0,102.92,6.45,93.26
2017,1,2,4,5.09,1.33,76.62,0,102.9,6.74,93.59
2017,1,2,5,5.14,1.57,77.62,0,102.94,6.49,94.56
