YEAR,MO,DY,HR,T2M,T2MDEW,RH2M,PRECTOTCORR,PS,WS50M,WD50M
2016,12,30,19,0.15,-3.1,78.5,0,100.62,7.93,272.82
2016,12,30,20,-0.1,-3.31,78.75,0,100.73,7.84,275.2
2016,12,30,21,-0.4,-3.6,78.94,0,100.82,7.8,276.27
2016,12,30,22,-0.78,-3.92,79.44,0,100.9,7.72,277.33
2016,12,30,23,-1.19,-4.17,80.56,0,100.96,7.5,277.78
2016,12,31,0,-1.57,-4.3,82.25,0,101.03,7.04,275.16
2016,12,31,1,-1.94,-4.39,84.06,0,101.13,6.7,269.73
2016,12,31,2,-2.27,-4.49,85.75,0,101.23,6.32,262.68
2016,12,31,3,-2.77,-4.59,88.81,0,101.28,5.99,255.8
2016,12,31,4,-2.93,-4.73,89.06,0,101.33,5.79,254.01
2016,12,31,5,-3.17,-4.88,89.69,0,101.42,5.55,251.28
2016,12,31,6,-3.31,-4.95,90.25,0,101.52,5.57,248.26
2016,12,31,7,-2.67,-4.76,86.81,0,101.55,5.64,241.02
2016,12,31,8,-0.9,-4.18,78.44,0,101.51,4.38,224.64
2016,12,31,9,0.51,-3.66,73.06,0,101.45,4.6,206.52
2016,12,31,10,2.03,-3.55,66.06,0,101.38,6.35,200.15
2016,12,31,11,3.39,-3.81,58.88,0,101.26,7.87,197.32
2016,12,31,12,4.44,-3.71,55.06,0,101.14,9.16,196.97
2016,12,31,13,4.91,-3.37,54.75,0,101.03,10.02,197.46
2016,12,31,14,4.67,-2.78,58.25,0,100.94,10.04,198.46
2016,12,31,15,4.01,-2,64.81,0,100.88,9.77,201.19
2016,12,31,16,2.96,-1.74,71.19,0,100.85,9.94,204.95
2016,12,31,17,2.24,-1.7,75.12,0,100.82,9.91,206.77
2016,12,31,18,2,-1.59,77.12,0,100.79,9.92,208.56
2016,12,31,19,2.25,-1.33,77.25,0,100.74,9.8,210.84
2016,12,31,20,2.5,-1.02,77.62,0,100.69,9.75,214.12
2016,12,31,21,2.7,-0.61,78.75,0.02,100.66,9.49,217.75
2016,12,31,22,2.9,-0.22,79.94,0.03,100.64,9.15,221.95
2016,12,31,23,3.08,0.01,80.31,0.01,100.63,8.86,227.32
2017,1,1,0,3.19,0.19,80.62,0.01,100.63,8.53,233.91
2017,1,1,1,3.12,0.27,81.5,0,100.65,7.5,236.77
2017,1,1,2,2.31,0.23,86.12,0,100.68,6.68,235.68
2017,1,1,3,1.22,-0.12,90.75,0,100.73,7.11,243.07
2017,1,1,4,0.65,-0.24,93.69,0,100.82,7.21,248.13
2017,1,1,5,0.33,-0.2,96.19,0,100.95,7.27,252.09
2017,1,1,6,0.29,-0.12,97,0,101.07,7.74,257.04
2017,1,1,7,1.38,0.3,92.38,0.09,101.19,7.69,266.8
2017,1,1,8,2.84,1.11,88.31,0.04,101.33,6.67,276.32
2017,1,1,9,4.87,1.92,81.12,0.02,101.47,5.79,284.94
2017,1,1,10,6.36,0.24,65,0.01,101.57,6.41,294.72
2017,1,1,11,6.96,-1.35,55.44,0,101.6,5.69,296.14
2017,1,1,12,7.4,-2.05,51,0,101.61,4.98,296.16
2017,1,1,13,7.69,-2.35,48.88,0,101.66,4.36,295.92
2017,1,1,14,7.62,-2.27,49.44,0,101.73,3.73,299.63
2017,1,1,15,6.27,0.8,68.31,0,101.83,3.12,313.58
2017,1,1,16,4.24,-1.89,64.38,0,101.93,2.89,330.18
2017,1,1,17,3.65,-3.17,60.69,0,102.05,2.81,348.28
2017,1,1,18,2.88,-3.54,62.38,0,102.13,3.08,17.7
2017,1,1,19,2.05,-3.74,65.12,0,102.19,3.42,43.06
2017,1,1,20,1.4,-3.74,68.25,0,102.24,3.68,60.06
2017,1,1,21,1,-3.49,71.5,0,102.31,3.88,70.62
2017,1,1,22,0.21,-2.95,78.94,0,102.34,4.6,74.92
2017,1,1,23,0.06,-2.24,84.19,0,102.35,5.52,76.34
2017,1,2,0,0.5,-1.63,85.44,0,102.3,6.3,79.79
2017,1,2,1,0.51,-1.28,87.75,0,102.33,5.97,86.1
2017,1,2,2,0.48,-0.95,90.06,0,102.37,5.6,89.52
2017,1,2,3,0.75,-0.48,91.44,0,102.34,5.84,89.39
2017,1,2,4,1.16,0.06,92.31,0,102.32,5.78,87.75
2017,1,2,5,1.1,0.5,95.75,0.01,102.36,5.49,86.73
2017,1,2,6,2.08,1.06,92.94,0.24,102.42,5.25,84.19
2017,1,2,7,2.37,1.35,92.94,0.05,102.45,4.93,79.78
2017,1,2,8,2.77,1.69,92.62,0.11,102.46,4.92,80.21
2017,1,2,9,3.38,2.16,91.81,0.23,102.46,5.05,83.34
2017,1,2,10,3.87,2.67,91.88,0.47,102.45,4.85,79.32
2017,1,2,11,4.15,3.06,92.69,0.81,102.36,4.81,72.8
2017,1,2,12,4.19,3.29,93.88,0.83,102.29,4.97,66.98
2017,1,2,13,4.02,3.3,95,0.68,102.24,5.45,64.79
2017,1,2,14,3.8,3.18,95.69,0.7,102.18,5.75,63.96
2017,1,2,15,3.63,3.08,96.25,0.65,102.12,5.89,61.46
2017,1,2,16,3.39,2.96,97.06,0.54,102.1,6,57.01
2017,1,2,17,3.18,2.8,97.56,0.44,102.11,6.03,50.04
2017,1,2,18,2.99,2.64,97.81,0.38,102.1,6.04,45
2017,1,2,19,2.91,2.57,97.88,0.39,102.04,6.36,44.9
2017,1,2,20,3.27,2.89,97.5,0.33,101.96,7.42,53.48
2017,1,2,21,3.45,3.12,97.75,0.29,101.89,7.14,51.58
2017,1,2,22,3.54,3.23,97.88,0.26,101.81,6.84,47.64
2017,1,2,23,3.67,3.32,97.62,0.22,101.68,7.38,51.44
2017,1,3,0,3.85,3.5,97.69,0.15,101.59,7.56,56.59
2017,1,3,1,4,3.64,97.69,0.14,101.51,7.59,58.63
